"location","email","fname","sname","fyomi","syomi","sex","birthday","occupation","prefecture","image"
"B","1465@4any.bc-glex.net","寺田","龍平","てらだ","りゅうへい","男","1989/06/20","プロ野球選手","北海道","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"C","1466@4any.bc-glex.net","笘篠","誠治","とましの","せいじ","男","1964/06/22","プロ野球選手","大阪府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"D","1467@4any.bc-glex.net","鳥谷","敬","とりたに","たかし","男","1981/06/26","プロ野球選手","東京都","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"E","1468@4any.bc-glex.net","土井","正博","どい","まさひろ","男","1943/12/08","プロ野球選手","大阪府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"F","1469@4any.bc-glex.net","堂上","隼人","どううえ","はやと","男","1982/03/12","プロ野球選手","神奈川県","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"G","1470@4any.bc-glex.net","土橋","正幸","どばし","まさゆき","男","1935/12/05","プロ野球選手","東京都","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"H","1471@4any.bc-glex.net","内藤","雄太","ないとう","ゆうた","男","1983/11/29","プロ野球選手","神奈川県","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"A","1472@4any.bc-glex.net","中田","亮二","なかた","りょうじ","男","1987/11/03","プロ野球選手","大阪府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"B","1473@4any.bc-glex.net","中田","廉","なかた","れん","男","1990/07/21","プロ野球選手","大阪府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"C","1474@4any.bc-glex.net","中谷","翼","なかたに","つばさ","男","1984/09/30","プロ野球選手","大阪府","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"D","1475@4any.bc-glex.net","中田","宗男","なかだ","むねお","男","1957/01/08","プロ野球選手","大阪府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"E","1476@4any.bc-glex.net","中田","良弘","なかだ","よしひろ","男","1959/04/08","プロ野球選手","神奈川県","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"F","1477@4any.bc-glex.net","中根","仁","なかね","ひとし","男","1966/08/28","プロ野球選手","宮城県","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"G","1478@4any.bc-glex.net","仲根","正広","なかね","まさひろ","男","1954/09/24","プロ野球選手","東京都","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"H","1479@4any.bc-glex.net","中野","栄一","なかの","えいいち","男","1974/10/16","プロ野球選手","神奈川県","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"A","1480@4any.bc-glex.net","中村","一生","なかむら","いっせい","男","1982/04/02","プロ野球選手","東京都","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"B","1481@4any.bc-glex.net","中村","憲","なかむら","けん","男","1989/09/27","プロ野球選手","京都府","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"C","1482@4any.bc-glex.net","中村","亘佑","なかむら","こうすけ","男","1991/04/02","プロ野球選手","神奈川県","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"D","1483@4any.bc-glex.net","中村","武志","なかむら","たけし","男","1967/03/17","プロ野球選手","京都府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"E","1484@4any.bc-glex.net","中村","剛也","なかむら","たけや","男","1983/08/15","プロ野球選手","大阪府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"F","1485@4any.bc-glex.net","中村","紀洋","なかむら","のりひろ","男","1973/07/24","プロ野球選手","大阪府","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"G","1486@4any.bc-glex.net","中村","豊","なかむら","ゆたか","男","1973/04/23","プロ野球選手","大阪府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"H","1487@4any.bc-glex.net","長坂","健冶","ながさか","けんじ","男","1977/10/29","プロ野球選手","神奈川県","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"A","1488@4any.bc-glex.net","長嶋","一茂","ながしま","かずしげ","男","1966/01/26","プロ野球選手","東京都","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"B","1489@4any.bc-glex.net","那須野","巧","なすの","たくみ","男","1982/10/04","プロ野球選手","東京都","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"C","1490@4any.bc-glex.net","新沼","慎二","にいぬま","しんじ","男","1979/06/22","プロ野球選手","宮城県","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"D","1491@4any.bc-glex.net","新浦","壽夫","にうら","ひさお","男","1951/05/11","プロ野球選手","東京都","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"E","1492@4any.bc-glex.net","西岡","剛","にしおか","つよし","男","1984/07/27","プロ野球選手","大阪府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"F","1493@4any.bc-glex.net","西沢","浩一","にしざわ","こういち","男","1963/05/30","プロ野球選手","東京都","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"G","1494@4any.bc-glex.net","西田","哲朗","にしだ","てつろう","男","1991/09/04","プロ野球選手","大阪府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"H","1495@4any.bc-glex.net","西村","優希","にしむら","ゆうき","男","1990/01/28","プロ野球選手","北海道","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"A","1496@4any.bc-glex.net","西山","秀二","にしやま","しゅうじ","男","1967/07/07","プロ野球選手","大阪府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"B","1497@4any.bc-glex.net","根元","俊一","ねもと","しゅんいち","男","1983/07/08","プロ野球選手","東京都","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"C","1498@4any.bc-glex.net","野村","克則","のむら","かつのり","男","1973/07/23","プロ野球選手","東京都","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"D","1499@4any.bc-glex.net","野茂","英雄","のも","ひでお","男","1968/08/31","プロ野球選手","大阪府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"E","1500@4any.bc-glex.net","萩原","淳","はぎわら","じゅん","男","1973/08/20","プロ野球選手","東京都","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"F","1501@4any.bc-glex.net","橋本","到","はしもと","いたる","男","1990/04/28","プロ野球選手","宮城県","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"G","1502@4any.bc-glex.net","橋本","健太郎","はしもと","けんたろう","男","1980/04/28","プロ野球選手","京都府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"H","1503@4any.bc-glex.net","橋本","良平","はしもと","りょうへい","男","1988/09/28","プロ野球選手","大阪府","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"A","1504@4any.bc-glex.net","早坂","圭介","はやさか","けいすけ","男","1984/06/19","プロ野球選手","神奈川県","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"B","1505@4any.bc-glex.net","原","拓也","はら","たくや","男","1984/05/18","プロ野球選手","神奈川県","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"C","1506@4any.bc-glex.net","原","辰徳","はら","たつのり","男","1958/07/22","プロ野球選手","神奈川県","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"D","1507@4any.bc-glex.net","原田","健二","はらだ","けんじ","男","1976/06/02","プロ野球選手","大阪府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"E","1508@4any.bc-glex.net","原田","英彦","はらだ","ひでひこ","男","1960/05/19","プロ野球選手","京都府","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"F","1509@4any.bc-glex.net","波留","敏夫","はる","としお","男","1970/05/25","プロ野球選手","京都府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"G","1510@4any.bc-glex.net","久本","祐一","ひさもと","ゆういち","男","1979/03/14","プロ野球選手","大阪府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"H","1511@4any.bc-glex.net","桧山","進次郎","ひやま","しんじろう","男","1969/07/01","プロ野球選手","京都府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"A","1512@4any.bc-glex.net","平田","良介","ひらた","りょうすけ","男","1988/03/23","プロ野球選手","大阪府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"B","1513@4any.bc-glex.net","平野","恵一","ひらの","けいいち","男","1979/04/07","プロ野球選手","神奈川県","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"C","1514@4any.bc-glex.net","平野","佳寿","ひらの","よしひさ","男","1984/03/08","プロ野球選手","京都府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"D","1515@4any.bc-glex.net","福川","将和","ふくかわ","まさかず","男","1976/12/29","プロ野球選手","大阪府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"E","1516@4any.bc-glex.net","福田","聡志","ふくだ","さとし","男","1983/09/12","プロ野球選手","大阪府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"F","1517@4any.bc-glex.net","福田","秀平","ふくだ","しゅうへい","男","1989/02/10","プロ野球選手","神奈川県","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"G","1518@4any.bc-glex.net","福田","岳洋","ふくだ","たけひろ","男","1983/04/09","プロ野球選手","大阪府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"H","1519@4any.bc-glex.net","福田","永将","ふくだ","のぶまさ","男","1988/07/23","プロ野球選手","神奈川県","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"A","1520@4any.bc-glex.net","福原","峰夫","ふくはら","みねお","男","1957/09/20","プロ野球選手","東京都","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"B","1521@4any.bc-glex.net","福本","豊","ふくもと","ゆたか","男","1947/11/07","プロ野球選手","大阪府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"C","1522@4any.bc-glex.net","藤井","彰人","ふじい","あきひと","男","1976/06/18","プロ野球選手","大阪府","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"D","1523@4any.bc-glex.net","藤江","均","ふじえ","ひとし","男","1986/01/27","プロ野球選手","大阪府","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"E","1524@4any.bc-glex.net","藤岡","好明","ふじおか","よしあき","男","1985/03/12","プロ野球選手","大阪府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"F","1525@4any.bc-glex.net","藤瀬","史朗","ふじせ","しろう","男","1953/07/02","プロ野球選手","大阪府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"G","1526@4any.bc-glex.net","古久保","健二","ふるくぼ","けんじ","男","1964/06/23","プロ野球選手","大阪府","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"H","1527@4any.bc-glex.net","古谷","拓哉","ふるや","たくや","男","1981/07/14","プロ野球選手","北海道","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"A","1528@4any.bc-glex.net","部坂","俊之","へさか","としゆき","男","1974/07/15","プロ野球選手","神奈川県","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"B","1529@4any.bc-glex.net","星","孝典","ほし","たかのり","男","1982/05/04","プロ野球選手","宮城県","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"C","1530@4any.bc-glex.net","星野","伸之","ほしの","のぶゆき","男","1966/01/31","プロ野球選手","北海道","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"D","1531@4any.bc-glex.net","前里","史朗","まえざと","しろう","男","1975/08/21","プロ野球選手","東京都","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"E","1532@4any.bc-glex.net","前田","健太","まえだ","けんた","男","1988/04/11","プロ野球選手","大阪府","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"F","1533@4any.bc-glex.net","前田","新悟","まえだ","しんご","男","1980/03/27","プロ野球選手","大阪府","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"G","1534@4any.bc-glex.net","前田","祐二","まえだ","ゆうじ","男","1986/01/10","プロ野球選手","大阪府","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"H","1535@4any.bc-glex.net","牧野","塁","まきの","るい","男","1974/07/17","プロ野球選手","東京都","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"A","1536@4any.bc-glex.net","枡田","慎太郎","ますだ","しんたろう","男","1987/07/08","プロ野球選手","京都府","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"B","1537@4any.bc-glex.net","眞下","貴之","まっか","たかゆき","男","1991/04/19","プロ野球選手","北海道","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"C","1538@4any.bc-glex.net","松","修康","まつ","のぶやす","男","1976/07/23","プロ野球選手","神奈川県","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"D","1539@4any.bc-glex.net","松井","稼頭央","まつい","かずお","男","1975/10/23","プロ野球選手","大阪府","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"E","1540@4any.bc-glex.net","松井","光介","まつい","こうすけ","男","1978/08/24","プロ野球選手","北海道","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"F","1541@4any.bc-glex.net","松井","淳","まつい","じゅん","男","1987/11/27","プロ野球選手","神奈川県","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"G","1542@4any.bc-glex.net","松井","佑介","まつい","ゆうすけ","男","1987/07/10","プロ野球選手","大阪府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"H","1543@4any.bc-glex.net","松坂","健太","まつさか","けんた","男","1985/08/16","プロ野球選手","大阪府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"A","1544@4any.bc-glex.net","松坂","大輔","まつざか","だいすけ","男","1980/09/13","プロ野球選手","東京都","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"B","1545@4any.bc-glex.net","松沼","博久","まつぬま","ひろひさ","男","1952/09/29","プロ野球選手","東京都","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"C","1546@4any.bc-glex.net","松沼","雅之","まつぬま","まさゆき","男","1956/07/24","プロ野球選手","東京都","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"D","1547@4any.bc-glex.net","松本","高明","まつもと","たかあき","男","1984/04/12","プロ野球選手","東京都","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"E","1548@4any.bc-glex.net","松本","隆","まつもと","たかし","男","1970/02/19","プロ野球選手","東京都","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"F","1549@4any.bc-glex.net","的場","直樹","まとば","なおき","男","1977/05/09","プロ野球選手","大阪府","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"G","1550@4any.bc-glex.net","真鍋","忠嗣","まなべ","ただし","男","1956/10/31","プロ野球選手","大阪府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"H","1551@4any.bc-glex.net","三木","肇","みき","はじめ","男","1977/04/25","プロ野球選手","大阪府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"A","1552@4any.bc-glex.net","水落","暢明","みずおち","のぶあき","男","1985/04/18","プロ野球選手","大阪府","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"B","1553@4any.bc-glex.net","水上","善雄","みずかみ","よしお","男","1957/08/09","プロ野球選手","神奈川県","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"C","1554@4any.bc-glex.net","水田","章雄","みずた","あきお","男","1973/07/11","プロ野球選手","大阪府","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"D","1555@4any.bc-glex.net","水田","圭介","みずた","けいすけ","男","1980/11/04","プロ野球選手","大阪府","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"E","1556@4any.bc-glex.net","宮地","克彦","みやじ","かつひこ","男","1971/08/28","プロ野球選手","大阪府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"F","1557@4any.bc-glex.net","宮田","和希","みやた","かずき","男","1988/11/16","プロ野球選手","大阪府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"G","1558@4any.bc-glex.net","宮前","岳巳","みやまえ","たけみ","男","1968/11/01","プロ野球選手","大阪府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"H","1559@4any.bc-glex.net","宮本","慎也","みやもと","しんや","男","1970/11/05","プロ野球選手","大阪府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"A","1560@4any.bc-glex.net","武藤","孝司","むとう","たかし","男","1973/06/06","プロ野球選手","神奈川県","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"B","1561@4any.bc-glex.net","村田","透","むらた","とおる","男","1985/05/20","プロ野球選手","大阪府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"C","1562@4any.bc-glex.net","村中","恭兵","むらなか","きょうへい","男","1987/10/25","プロ野球選手","神奈川県","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"D","1563@4any.bc-glex.net","本屋敷","俊介","もとやしき","しゅんすけ","男","1975/04/12","プロ野球選手","大阪府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"E","1564@4any.bc-glex.net","籾山","幸徳","もみやま","ゆきのり","男","1985/04/10","プロ野球選手","大阪府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"F","1565@4any.bc-glex.net","森","浩之","もり","ひろゆき","男","1965/02/04","プロ野球選手","大阪府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"G","1566@4any.bc-glex.net","森岡","良介","もりおか","りょうすけ","男","1984/07/15","プロ野球選手","大阪府","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"H","1567@4any.bc-glex.net","森川","芳夫","もりかわ","よしお","男","1956/05/09","プロ野球選手","東京都","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"A","1568@4any.bc-glex.net","盛田","幸妃","もりた","こうき","男","1969/11/21","プロ野球選手","北海道","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"B","1569@4any.bc-glex.net","森野","将彦","もりの","まさひこ","男","1978/07/28","プロ野球選手","神奈川県","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"C","1570@4any.bc-glex.net","森本","学","もりもと","さとる","男","1978/01/06","プロ野球選手","大阪府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"D","1571@4any.bc-glex.net","森本","稀哲","もりもと","ひちょり","男","1981/01/31","プロ野球選手","東京都","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"E","1572@4any.bc-glex.net","八重樫","幸雄","やえがし","ゆきお","男","1951/06/15","プロ野球選手","宮城県","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"F","1573@4any.bc-glex.net","八木","智哉","やぎ","ともや","男","1983/11/07","プロ野球選手","神奈川県","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"G","1574@4any.bc-glex.net","柳沼","強","やぎぬま","つよし","男","1974/05/15","プロ野球選手","北海道","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"H","1575@4any.bc-glex.net","安田","昌玄","やすだ","まさはる","男","1962/01/09","プロ野球選手","大阪府","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"A","1576@4any.bc-glex.net","谷内田","敦士","やちだ","あつし","男","1990/01/29","プロ野球選手","北海道","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"B","1577@4any.bc-glex.net","柳川","洋平","やながわ","ようへい","男","1986/02/25","プロ野球選手","神奈川県","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"C","1578@4any.bc-glex.net","矢野","謙次","やの","けんじ","男","1980/09/21","プロ野球選手","東京都","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"D","1579@4any.bc-glex.net","薮田","安彦","やぶた","やすひこ","男","1973/06/19","プロ野球選手","大阪府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"E","1580@4any.bc-glex.net","山井","大介","やまい","だいすけ","男","1978/05/10","プロ野球選手","大阪府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"F","1581@4any.bc-glex.net","山﨑","浩司","やまさき","こうじ","男","1980/10/31","プロ野球選手","大阪府","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"G","1582@4any.bc-glex.net","山田","秋親","やまだ","あきちか","男","1978/09/19","プロ野球選手","京都府","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"H","1583@4any.bc-glex.net","山田","弘喜","やまだ","ひろき","男","1989/03/23","プロ野球選手","大阪府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"A","1584@4any.bc-glex.net","山中","潔","やまなか","きよし","男","1961/10/29","プロ野球選手","大阪府","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"B","1585@4any.bc-glex.net","山村","善則","やまむら","よしのり","男","1955/04/11","プロ野球選手","大阪府","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"C","1586@4any.bc-glex.net","山室","公志郎","やまむろ","こうしろう","男","1987/07/14","プロ野球選手","神奈川県","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"D","1587@4any.bc-glex.net","山本","功児","やまもと","こうじ","男","1951/12/25","プロ野球選手","大阪府","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"E","1588@4any.bc-glex.net","山本","淳","やまもと","じゅん","男","1982/04/16","プロ野球選手","神奈川県","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"F","1589@4any.bc-glex.net","山本","斉","やまもと","ひとし","男","1989/07/10","プロ野球選手","大阪府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"G","1590@4any.bc-glex.net","山本","大明","やまもと","ひろあき","男","1988/06/10","プロ野球選手","大阪府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"H","1591@4any.bc-glex.net","山脇","光治","やまわき","こうじ","男","1962/10/13","プロ野球選手","大阪府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"A","1592@4any.bc-glex.net","行澤","久隆","ゆきざわ","ひさたか","男","1953/07/11","プロ野球選手","大阪府","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"B","1593@4any.bc-glex.net","湯舟","敏郎","ゆふね","としろう","男","1966/10/08","プロ野球選手","大阪府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"C","1594@4any.bc-glex.net","横川","雄介","よこかわ","ゆうすけ",,"1984/09/12","プロ野球選手","東京都","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"D","1595@4any.bc-glex.net","横山","徹也","よこやま","てつや","男","1984/06/26","プロ野球選手","京都府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"E","1596@4any.bc-glex.net","吉井","英昭","よしい","ひであき","男","1972/04/03","プロ野球選手","北海道","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"F","1597@4any.bc-glex.net","吉崎","勝","よしざき","まさる","男","1978/10/04","プロ野球選手","京都府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"G","1598@4any.bc-glex.net","吉田","えり","よしだ","えり","女","1992/01/17","プロ野球選手","神奈川県","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"H","1599@4any.bc-glex.net","吉田","義男","よしだ","よしお","男","1933/07/26","プロ野球選手","京都府","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"A","1600@4any.bc-glex.net","吉原","道臣","よしはら","みちおみ","男","1981/10/29","プロ野球選手","東京都","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
